Year,"Mortality rate, infant, male (per 1,000 live births)","Fertility rate, total (births per woman)","Mortality rate, adult, female (per 1,000 female adults)",External health expenditure per capita (current US$),Current health expenditure (% of GDP),Tuberculosis treatment success rate (% of new cases),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Lifetime risk of maternal death (1 in: rate varies by country),"Incidence of malaria (per 1,000 population at risk)",Young people (ages 15-24) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,Children (0-14) living with HIV,"Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)",Women's share of population ages 15+ living with HIV (%),"Probability of dying among children ages 5-9 years (per 1,000)","Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",Prevalence of anemia among pregnant women (%),"Physicians (per 1,000 people)","Immunization, measles (% of children ages 12-23 months)","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",Adults (ages 15+) and children (ages 0-14) newly infected with HIV,"Prevalence of HIV, male (% ages 15-24)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, under-5 (per 1,000 live births)","Cause of death, by non-communicable diseases (% of total)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Prevalence of anemia among children (% of children ages 6-59 months),"Life expectancy at birth, male (years)","Mortality rate, infant (per 1,000 live births)",Domestic general government health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)",Current health expenditure per capita (current US$),"Tuberculosis case detection rate (%, all forms)","Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)",Lifetime risk of maternal death (%),"Nurses and midwives (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",Children (ages 0-14) newly infected with HIV,"Prevalence of HIV, female (% ages 15-24)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Prevalence of HIV, total (% of population ages 15-49)",Number of under-five deaths,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
1990,108,6.567,397.45,,,,625,26,,33000,76000,28000,36.3,188.5,59.44712248,17.3,,,0.092,90,26.01,98000,3.9,,180.6,,,,46.912,101.6,,,,,,3.827018327,,91,22.67,14000,9.5,,9.8,63086,
1991,108.5,6.458,418.085,,,,611,27,,34000,78000,35000,35.9,189.4,60.01368922,17.3,,,,80,26.4,100000,4.3,,181.4,,,,46.197,102.2,,,,,,3.685455859,,79,23.03,16000,10.7,,11.2,64834,
1992,108.3,6.349,434.771,,,,581,29,,34000,77000,42000,35.6,189,60.52199596,17.1,,,,85,25.67,100000,4.5,,181.1,,,,45.749,102.2,,,,,,3.441195289,,83,22.42,17000,11.6,,12.5,66114,
1993,107.4,6.298,446.948,,,,532,32,,34000,76000,50000,35.2,187.4,60.96343578,17,,,,91,24.81,100000,4.6,,179.4,,,,45.43,101.5,,,,,,3.129674815,,86,21.69,19000,12.1,,13.5,66921,
1994,106.1,6.26,464.933,,,,507,34,,32000,72000,57000,35,184.7,61.33955191,16.8,,,,96,23.29,99000,4.6,,176.7,,,,45.199,100.2,,,,,,2.958509466,,90,20.38,20000,12.3,,14.2,67481,
1995,104.4,6.232,479.716,,,,466,37,,31000,68000,65000,34.9,181.4,61.69349298,16.5,,,0.069,86,21.59,95000,4.5,,173.4,,,,44.916,98.6,,,,,,2.693922978,,86,18.91,21000,12.2,,14.7,67806,
1996,102.9,6.182,498.391,,,,433,40,,30000,66000,72000,34.9,178.2,61.9754465,16.3,,,,86,20.42,93000,4.3,,170,,,,44.714,97.1,,,,,,2.471309375,,84,17.9,21000,11.9,,15,68004,
1997,101.5,6.124,506.798,,,,403,44,,29000,64000,79000,34.9,174.8,62.16541218,16,,,,86,19.32,91000,4.1,,166.6,,,,44.72,95.8,,,,,,2.274443761,,83,16.95,22000,11.5,,15.2,68113,
1998,100.1,6.067,521.007,,,,392,46,,29000,62000,85000,34.7,171.4,62.34618982,15.6,,,,86,18.26,89000,3.9,,163,,,,44.805,94.4,,,,,,2.187962595,,84,16.03,22000,11.1,,15.2,68190,
1999,98.3,5.998,527.43,,,,378,48,,28000,61000,91000,34.5,167.2,62.44095798,15.2,,,,85,17.33,88000,3.8,,158.7,,,,45.125,92.5,,,,,,2.086661895,,84,15.22,22000,10.6,,15.1,67894,
2000,95.2,5.921,525.315,1.12417605,4.17365646,67,340,54,360.74,27000,60000,96000,33.9,161,62.45013594,14.7,55.1,45.3,,85,16.41,87000,3.6,28.5,152.5,20.39411261,74.26299731,65.6,45.797,89.4,5.29778175,5.343245839,15.00134468,66,7.7,1.86102298,,85,14.42,22000,10.1,23.8,14.9,66540,36.2
2001,90.3,5.848,518.388,2.14308448,4.82995701,74,306,61,379.02,27000,59000,100000,33,152.3,62.31546623,14.3,55,44.5,,84,15.63,86000,3.5,28.2,143.8,,,64.2,46.645,84.6,7.63380623,9.646460477,19.15345192,62,7.9,1.649079204,,85,13.73,22000,9.7,22.9,14.7,63839,35
2002,84.4,5.774,504.563,7.17770285,5.88845205,80,274,68,368.27,27000,59000,110000,31.7,142.1,62.23648953,13.8,54.7,43.8,,84,14.92,85000,3.4,28.9,133.7,,,62.6,47.702,78.8,7.47626369,33.47754312,23.19246864,73,8.1,1.467197901,,84,13.1,22000,9.3,22.5,14.4,60420,33.9
2003,78.3,5.71,487.107,10.16495536,5.99553585,75,250,75,346.01,27000,59000,110000,30.4,131.7,62.07780596,13.2,54.2,43,,84,14.33,85000,3.3,29.4,123.6,,,61.2,48.72,72.9,6.4880598,44.23569786,26.75762367,79,8.2,1.335874472,,83,12.58,22000,8.9,21.9,14.2,57004,32.9
2004,71.8,5.698,488.01,10.50909967,5.48490572,83,260,72,298.48,26000,58000,110000,29.1,121.4,61.95169518,12.7,53.5,42.3,0.134,85,13.62,83000,3.2,28.8,113.7,,,59.9,49.901,66.7,7.21766002,39.60468572,30.09499931,76,8.2,1.386553156,,83,11.95,20000,8.6,20.9,13.9,53702,31.9
2005,66,5.697,476.903,20.58317459,6.33088684,86,264,71,260.39,26000,58000,110000,28,112.2,61.73449097,12.2,52.7,41.5,0.056,85,13,80000,3.2,28,104.8,,,58.7,51.029,61.2,8.83702237,64.07863208,44.99598694,70,8.1,1.412747203,0.724,82,11.42,18000,8.4,20.1,13.7,50905,31
2006,62,5.679,454.92,23.62658294,5.5774231,84,262,71,224.19,25000,58000,110000,27.2,104,61.54897377,11.6,51.8,40.7,0.054,85,12.5,79000,3.2,27.5,97.1,,,57.6,51.932,57.5,13.97853116,53.3969013,58.68175507,68,7.9,1.411707757,0.699,81,10.98,17000,8.2,19.9,13.5,48618,30.1
2007,60,5.613,437.954,17.45769245,4.57961416,83,324,58,193.14,25000,57000,110000,26.6,98,61.33632239,11.1,50.6,40,,93,11.8,77000,3.2,27,91.4,,,56.6,52.877,55.4,16.64833535,39.85259078,51.24428177,66,7.7,1.736559944,,80,10.37,16000,8,19.8,13.4,47149,29.3
2008,57.3,5.53,411.519,23.1843243,4.46690989,85,394,48,170.62,24000,55000,100000,26.3,92.6,61.19235453,10.7,49.4,39.3,0.062,87,10.93,72000,3.2,26.7,86.2,,,55.8,53.693,52.9,21.80924526,45.62601664,61.45419693,63,7.4,2.105215586,0.707,87,9.67,14000,7.8,19.9,13.4,45707,28.5
2009,55,5.453,391.812,28.73044148,5.15718842,90,406,46,165.49,24000,56000,100000,26,86.1,61.03382056,10.2,48,38.6,0.06,90,10.61,72000,3.2,26.6,80,,,55,54.719,50.7,18.9534015,72.61835737,58.61063385,65,7,2.15814658,0.713,94,9.45,13000,7.6,20.1,13.4,43545,27.8
2010,53.1,5.359,367.188,24.82173344,3.97471905,89,332,57,167.73,24000,56000,100000,25.7,81.6,60.93608534,9.8,46.6,38.1,0.061,96,10.26,71000,3.1,26.7,75.7,28.83053228,63.41886491,54.3,55.479,49,22.63248268,52.98591422,57.67263412,64,6.7,1.750136279,0.72,83,9.19,12000,7.5,20.3,13.3,42172,27.3
2011,51.7,5.256,340.42,29.57755042,3.95913363,88,291,66,178.58,25000,57000,98000,25.5,78.8,60.91803555,9.4,45.1,37.6,,83,10.02,71000,3.1,27.1,73.1,,,54,56.186,47.6,25.56283354,58.77998807,64.3181076,63,6.3,1.519464629,,81,9.08,12000,7.4,20.5,13.3,41586,26.8
2012,50.3,5.136,320.483,32.10716759,4.04541731,85,256,76,199.56,25000,58000,96000,25.3,76,60.94580644,9,43.8,37.2,,82,9.84,72000,3.1,26.9,70.4,,,54,56.954,46.4,26.37169782,62.33157881,69.17604828,60,6,1.315509988,,78,9.02,11000,7.3,20.3,13.3,40745,26.5
2013,48.6,5.014,303.975,46.76559738,4.57390451,85,213,93,227.35,26000,59000,94000,25.1,72.5,60.9564297,8.6,42.6,37,,80,9.67,71000,3,25.7,67.2,,,53.9,57.623,44.7,23.85359769,89.08652763,83.29361725,60,5.7,1.075380927,,79,8.98,10000,7.3,20.2,13.2,39412,26.3
2014,47,4.89,286.036,21.28419086,3.82924223,85,174,117,232.66,25000,58000,91000,24.9,69,61.00089375,8.2,41.6,36.8,,85,9.16,69000,2.9,25.9,63.8,,,53.9,58.094,43.3,32.34112202,42.73868088,65.39261627,59,5.4,0.858196049,,86,8.39,9200,7.1,20.3,13.2,37859,26.3
2015,46.2,4.775,268.497,20.89150831,4.42974281,85,154,134,218.94,23000,55000,89000,24.7,66.6,61.11693717,7.8,40.7,36.7,,90,8.39,67000,2.8,25.6,61.5,33.19752461,58.3146068,54.2,58.545,42.5,27.08312389,53.56587314,57.38765335,57,5.2,0.748298526,,90,7.57,9800,7,20.4,13,36946,26.2
2016,44.5,4.669,261.777,23.58237501,4.46923161,88,158,133,203.98,22000,54000,88000,24.4,63.9,61.27257757,7.5,39.5,36.6,0.09,97,7.96,65000,2.7,26.4,59,,,54.4,58.919,40.9,21.2485313,62.66723271,55.39532089,60,5,0.749391471,,95,7.08,9000,6.7,20.6,12.9,35832,26.2
2017,42.2,4.567,248.802,22.40233264,4.78156233,90,141,152,188,23000,56000,85000,24.2,60.8,61.45618626,7.1,38.2,36.4,,96,7.96,66000,2.6,26.1,56.1,,,54.6,59.207,38.8,37.24079808,50.85512733,70.93283844,57,4.8,0.657279632,0.907,94,7.23,7900,6.6,20.4,12.7,34431,26.1
2018,40.8,4.492,235.116,30.80007377,4.76996708,90,117,186,186.47,23000,54000,82000,23.9,59.8,61.67956022,6.9,36.9,36.3,0.225,94,7.4,64000,2.5,25.9,55.2,,,54.9,59.693,37.5,30.56645175,73.24853716,69.82767487,56,4.8,0.536835369,1.283,90,6.85,7800,6.3,20.2,12.5,34336,26.2
2019,39,4.418,215.69,49.30328447,6.75330257,89,103,215,182.14,20000,46000,78000,23.6,58.6,61.91549399,6.6,35.7,36.3,0.239,93,6.06,54000,2.3,26.7,54.1,34.79238151,56.51785266,55.1,60.349,35.7,28.43190593,136.6746685,85.02349854,59,4.7,0.464491198,1.429,88,5.73,6200,6,20.4,12.2,34161,26.2
2020,37.7,4.323,203.387,19.80793504,6.3067441,91,99,228,179.45,16000,38000,73000,23.2,56.8,62.17087579,6.4,34.9,36.2,0.255,96,4.75,44000,2.2,28.3,52.4,,,,60.731,34.5,34.19879606,69.59829582,60.01779938,66,4.8,0.438214878,1.637,84,4.57,5100,5.5,20.7,11.8,33579,26.2
2021,36.4,4.246,229.545,37.01632249,6.63951397,92,140,165,180.33,14000,32000,70000,22.8,53.4,62.40838142,6.1,34.5,36.2,0.297,90,3.89,38000,2,26,49.2,,,,59.79,33.4,31.82053032,118.3363613,74.83802795,83,4.9,0.607270271,1.864,91,3.8,4800,5,21.6,11.3,31972,26.4
2022,35.2,4.175,172.209,31.49602133,5.25592279,93,89,260,179.05,12000,28000,66000,22.4,50.8,62.64331921,5.9,34.7,36.5,0.262,90,3.25,33000,1.9,,46.7,,,,62.768,32.2,36.27853454,85.9465097,76.05962372,91,5.1,0.384519645,2.147,82,3.18,4400,4.5,,10.8,30793,26.7
2023,33.7,4.101,155.33,,,,85,277,176.74,,,,22,48.6,,5.7,34.9,36.7,,90,,,,,44.7,,,,63.936,30.9,,,,93,5.4,0.3615927,,80,,,,,,29963,27.1
2024,,,,,,,,,,,,,,,,,35.3,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,
